Individual|Fundamental unit of ecology. Has a membrane, transforms and moves energy, and alters the condition of the environment.
Species|Capable if interbreeding or share genetic similarity
Hybrids|Results of breeding two different species and the offspring can create viable offspring (Donkey and zebra, lion and tiger)
Individual approach|understand how adaptations allow an organism to survive in its environment
Population|individuals  of the same species living in a particular area
Population approach|Examines variation in the number, density, and composition of individuals
Geographic range|distribution is the extent of th and or water within which a population lives
Abundance|total number of individuals
Density|number per unit area
Composition|number of age, gender, or genetics
Community|Populations of species living together in a particular area.
Community approach|understanding the diversity and interactions of organisms living together in the same place
Ecosystem|One of more communities of living organisms interacting with their nonliving physical and chemical environment
Ecosystem approach|Describes the storage and transfer of energy and matter
Biosphere|All ecosystems on earth combined by wind, water, and movement of organisms.
Biosphere approach|Examines movement of energy and chemicals over the earth's surface.
First law of thermo|Matter and energy cannot be created or destroyed, can change form. Ecological systems can gain or lose energy. Organization of community is important. What organisms do with their energy makes them different.
Phenotype|an attribute of an organism (morphology or behavior)
Genotype|the set of genes a organism carries, determines an organisms phenotype.
Natural Selection|changes of genes in a population through differential survival and reproductions of individuals with certain phenotypes
Requirements|individuals very in traits, traits are heritable, variation in traits causes some individuals to experience higher fitness.
Producers|autotrophs - Make their own energy
Consumers|heterotr0phs - obtain energy from other organisms
Mixotrophs|Both produced and consumers (Venus Fly Trap)
Scavangers|Consume dead animals
Detrtivores|Break down dead organic matter
Decomposers|Break down detritus into simpler elements that can be recycled
Competition|When two organisms depend on the same resource and have a neg effect on each other
Mutualism|two species benefit from each other
Commensalism|One benefits, another is not affected
Habitat|Place or physical setting where an organism lives, determined by physical features
Niche|Range of abiotic and biotic condition and organism can tolerate
Proximate hypothesis|addresses the cause of immediate changes in individual phenotypes or interactions (How and What)
Ultimate hypothesis|address the fitness costs and benefits of a response (Evolutionary response (Why))
Manipulative Hypothesis|Where a hypothesis is tested by altering a factor to be the cause of a phenomenon
Treatment|The factor that we want to manipulate in the Study
Experimental unit|object we want to apply manipulation
Replication|being able to reproduce a similar outcome multiple times
Randomization|requirement for manipulation experiments, every experimental unit must have an equal change of being assigned to a particular treatment.
Natural experiments|an approach to hypothesis testing that relies on natural variation in the enviornment to test a hypothesis
Mathematical models|representations of a system with a set of equations that correspond to hypothesized relationships among system components
Sand|< .05 mm
Silt|.002 - .05
Clay|<.002
Matrix potential|potential energy generated by the attractive forces and soil particles,occurs because water molecules and soil particles have electrical charges
Field capacity|Max num of water held by soil in gravity (Normal conditions). Gravity will cause water to drain out of soil. -.01 MPa
Saturation|100% water, 0 MPa
Wilting point|When water is held too tightly, prevents plant from getting it, higher wilting point. -1.5 MPa
Cohesion|Attraction of substance to itself
Root pressure|Osmotic pressure of the roots of a plant compared to the rest of the soil
Transpiration|process which leaves can generate water potential as water evaporates from the surfaces of leaf cells.
Cohesion-tension theory|Mechanism of water movement in pants from roots to leaves. Osmosis pushes water into roots, gradient of water from high in roots to low in leaves due to transpiration. Water moves naturally because water has high cohesion, which helps it move up the plant.
Stomata|small opening in leaves, controlled by guard cells. Regulates transpiration happens. Points of entry for CO2
Where would you find most stomata on the plants terrestrial vs aquatic|Stomata in terrestrial plants are on bottom of leaves, prevents wilting, on top for aquatic for CO2 letting out water
Electromagnetic radiation|packaged in photons. We see the visible spectrum - 400-700nm (violet to red)
PAR|400 nm (violet) and 700 nm (red) - photosynthetically active region
Chlorophyll A|400 to 450 range abs, red and violet absorbed
Caratonoids|Absorbs greens, reflects orange.
Chlorophyll b,c,d,f|accessory pigments that capture light energy and pass to a.
Photosynthesis|6CO2 + 6H2O + photons -> C6H12O6+ 602. Happens in 2 steps, light reactions and Calvin cycle
Light reactions|Chlorophyll in thylakoids absorb photons, releases e to chain of reactions. Splits H20 molecules, forms O2, energy and hydrogen created used to create ATP and NADPH from ADP and NADP+.
Calvin cycle|Takes place in stroma of chloroplast - uses generated ATP and NADPH and takes CO2 to convert to glucose.  **C02 + RuBP -> 2g3p** in a C3 plant.
C4|grasses, sedges. Stressful conditions, must maximize CO2 used
CAM|What makes them different, Crassulaceae plants (HW) watch video
Homeostasis|organisms ability to maintain constant internal conditions
Negative feedback|The action of internal response mechanisms that restores a system to a desired state, or set point, when the system deviates from that state.
Blood shunting|hen specific blood vessels shut off so less of an animal’s warm blood flows to cold extremities where heat would be lost. Shunting occurs at _precapillary sphincters_.
Countercurrent circulation|helps to conserve heat by positioning arteries that carry warm blood away from the heart alongside veins that carry chilled blood from the extremities back to the heart.
Thermoregulation|The ability of an organism to control the temp of their body
Homeotherms|Organisms that maintain constant temperature
Endotherms|Organisms that can generate metabolic heat
Ectotherms|Temperatures determined by environment
Poikilotherms|Organisms that do not have constant body temperatures.
Poikilotherms Homeotherms|squirrel, hybernation
Hyperosmotic|tissue solute concentrations are higher than surrounding water.
